Code,Name
ADAPTOR,ADAPTOR
AIRCONDITION ,AIR CONDITION 
ANTIVIRUS,ANTIVIRUS
BAG,BAG
BATTERY,BATTERY
KEYBOARD,KEYBOARD
LCD,LCD
LED,LED
DVDPLAYER,DVD PLAYER
DVDRW,DVD RW
POWERSTRIPS,POWER STRIPS
BINOCULAR,BINOCULAR
BNCCCCAMERA,BNC CC CAMERA
USBCABLE,USB CABLE
CABLE,CABLE
BAG,BAG
CASE,CASE
CCCAMERA,CC CAMERA
CONECTER,CONECTER
CONVERTER,CONVERTER
COPPER PIPE,COPPER PIPE
COVER,COVER
DSLRCAMERA,DSLR CAMERA
DIGITALCAMERA,DIGITAL CAMERA
DIGITALMICROSCOPE,DIGITAL MICROSCOPE
DOK,DOK
DVR,DVR
EXTERNALPOWERPACK,EXTERNAL POWER PACK
FAN,FAN
GLASSESS,GLASSESS
HARDDISK,HARD DISK
HOMETHEATER,HOME THEATER
IC,IC
LAPTOP,LAPTOP
LAPTOPLOCK,LAPTOP LOCK
LASERPOINTER,LASER POINTER
MEMORYCARD,MEMORY CARD
METALDETECTOR,METAL DETECTOR
MINIPC,MINI PC
MOBILE,MOBILE
MOBILEWATCH,MOBILE WATCH
PASTE,PASTE
PENDRIVE,PENDRIVE
PORTABLE AC,PORTABLE AC
POWERBANK,POWER BANK
POWERSTRIPS,POWER STRIPS
POWERSUPPLY,POWER SUPPLY
PRINTER,PRINTER
PROCESSOR,PROCESSOR
RAM,RAM
SCANER,SCANER
SCREENCLEANING,SCREEN CLEANING
SCREENGUARD,SCREEN GUARD
SELFIESTICK,SELFIE STICK
SERVICECHARGE,SERVICE CHARGE
SOFIPROGRAMMER,SOFI PROGRAMMER
SPEAKER,SPEAKER
SWITCH,SWITCH
TONER,TONER
TRANSPORTATION,TRANSPORTATION
TVREMORT,TV REMORT
TV,TV
TVBOXCARD,TV BOX/CARD
WALLMOUNT,WALL MOUNT
VEDIOCAMERA ,VEDIO CAMERA 
VRPARK,VR PARK
ROUTER,ROUTER
